Page,Visitors,Total
"Mobile Safari",7002,23461
"Chrome",6675,22754
"Facebook",4187,8013
"Chrome Mobile",1629,4376
"Safari",1480,6624
"Chrome Mobile iOS",645,2187
"Microsoft Edge",520,2107
"Instagram App",386,1452
"Firefox",339,1187
"Google Search App",207,805
"Samsung Browser",157,484
"Opera",71,223
"Brave",29,130
"Firefox Mobile",26,75
"Chrome Webview",22,45
"Yandex Browser",12,18
"Firefox Mobile iOS",9,25
"Snapchat",6,7
"MIUI Browser",5,10
"Mobile Silk",4,17
"WeChat",4,4
"Sogou Explorer",3,4
"360 Browser",2,2
"AOL Desktop",1,2
"Avast Secure Browser",1,6
"Konqueror",1,1
"Miro",1,2
"Opera Mobile",1,3
"Opera Touch",1,3
