Page,Visitors,Total
"US",18855,60944
"AR",1076,4799
"SG",706,766
"UY",419,1557
"CN",359,362
"CA",137,482
"BR",117,361
"DE",110,326
"MX",106,383
"PR",100,380
"IN",90,128
"GB",83,168
"FR",78,277
"SE",71,117
"IE",68,118
"ES",64,166
"CO",59,176
"FI",53,62
"NL",53,168
"PL",46,108
"IT",45,154
"AE",35,82
"IL",35,184
"PY",29,73
"AU",28,50
"CH",25,68
"TR",23,48
"PH",22,48
"HN",19,99
"PE",19,45
"ZA",19,41
"BE",18,52
"ID",18,30
"JP",18,28
"PT",18,43
"GR",16,19
"HK",16,36
"MY",15,15
"DK",14,45
"PK",14,35
"CR",13,61
"DO",13,54
"CL",12,41
"RU",12,19
"BD",11,16
"LT",11,13
"AM",10,16
"AT",10,23
"BG",10,20
"NO",10,46
"AF",9,9
"AL",9,9
"KZ",9,28
"CZ",8,31
"KY",8,24
"MA",8,43
"NG",8,25
"RO",8,16
"EC",7,38
"PA",7,19
"BH",6,25
"SA",6,14
"VN",6,13
"BS",5,18
"EE",5,30
"RS",5,6
"SK",5,21
"AW",4,15
"EG",4,6
"GT",4,12
"HU",4,10
"JM",4,6
"MN",4,15
"TN",4,8
"GE",3,8
"LB",3,4
"SC",3,5
"TW",3,8
"UA",3,3
"AG",2,4
"AZ",2,5
"BA",2,6
"BO",2,6
"DZ",2,10
"GH",2,18
"KG",2,5
"KH",2,2
"LC",2,2
"LU",2,2
"MC",2,9
"MD",2,5
"NZ",2,2
"SV",2,12
"TC",2,4
"TH",2,5
"VE",2,2
"BJ",1,4
"BQ",1,10
"BY",1,1
"CI",1,1
"CW",1,9
"CY",1,3
"DM",1,3
"ET",1,3
"GP",1,1
"GU",1,3
"HR",1,2
"IM",1,1
"IQ",1,5
"IR",1,3
"IS",1,11
"JO",1,4
"KE",1,4
"KR",1,3
"LK",1,1
"ME",1,1
"MF",1,2
"MK",1,1
"MQ",1,3
"MZ",1,3
"NA",1,3
"NI",1,2
"OM",1,3
"QA",1,10
"RE",1,3
"SI",1,1
"SN",1,1
"SX",1,2
"TT",1,1
"UG",1,1
"UZ",1,4
"VG",1,1
