Page,Visitors,Total
"/vehicles",11259,24991
"/",9076,12765
"/catcher.esl",2263,3247
"/vehicles/ferrari-456-gt-1995-blue",626,850
"/contact",589,699
"/vehicles/bentley-continental-gt-2020-w12-silver",557,766
"/classics",538,791
"/vehicles/bmw-m3-2023-competition-brooklyn-gray-metallic",528,709
"/vehicles/porsche-911-2021-turbo-s-silver",523,654
"/vehicles/bmw-8-series-1992-850i-green",518,604
"/vehicles/mercedes-benz-sl-class-2008-sl-65-amg-black",479,604
"/vehicles/mclaren-720s-2018-luxury-silver",473,543
"/vehicles/porsche-911-2013-carrera-gray",466,556
"/vehicles/porsche-911-2010-gt3-white",461,616
"/vehicles/porsche-911-1999-carrera-silver",457,691
"/vehicles/mercedes-benz-sl-class-1999-sl-600-black",456,601
"/vehicles/mitsubishi-3000gt-1992-vr-4-red",456,580
"/vehicles/porsche-911-2015-carrera-s-black",437,540
"/vehicles/mercedes-benz-sl-class-2022-sl-63-amg-gray",421,482
"/vehicles/audi-r8-2022-v10-performance-white",408,496
"/vehicles/lamborghini-huracan-sto-2022-base-black",405,561
"/vehicles/porsche-911-2019-carrera-gt-silver-metallic",403,488
"/vehicles/porsche-911-1986-red",397,500
"/finance",392,495
"/vehicles/ferrari-458-spider-2013-base-black",363,511
"/vehicles/ferrari-550-1997-maranello-red",362,425
"/vehicles/porsche-718-boxster-2018-base-silver",358,456
"/vehicles/mercedes-benz-g-class-2007-g-500-black",345,449
"/vehicles/porsche-911-2020-carrera-s-jet-black-metallic",344,445
"/vehicles/ferrari-488-gtb-2016-base-white",336,382
"/vehicles/porsche-911-1999-carrera-black",327,428
"/vehicles/bmw-xm-2023-base-black-sapphire-metallic",318,365
"/vehicles/mercedes-benz-500-class-1988-560-sl-white",315,359
"/vehicles/porsche-911-2024-turbo-s-white",277,335
"/vehicles/dodge-viper-1993-rt10-red",276,318
"/vehicles/bentley-continental-gtc-2011-base",249,285
"/vehicles/porsche-911-2020-carrera-4s-green",249,318
"/vehicles/mercedes-benz-sl-class-1995-sl-600",233,297
"/vehicles/porsche-911-2021-turbo-s-gray",231,293
"/vehicles/bentley-flying-spur-2014-base-gray",227,263
"/vehicles/mercedes-benz-slk-2013-slk-55-amg-black",217,278
"/vehicles/bentley-bentayga-2018-w12-black",214,266
"/vehicles/ferrari-portofino-2019-base-black",207,248
"/vehicles/ferrari-348-1990-red",204,234
"/vehicles/porsche-911-1985-carrera-targa",204,282
"/vehicles/aston-martin-vanquish-2005-s-silver",199,230
"/vehicles/bmw-m2-2024-base-alpine-white",199,282
"/vehicles/mercedes-benz-g-class-2017-g-550-squared-designo-magno-night-black-matte-finish",198,224
"/vehicles/porsche-macan-electric-2025-4s",184,234
"/vehicles/porsche-911-2013-carrera-4s-black",182,201
"/vehicle-details/used-1992-bmw-8-series-850i-miami-fl-id-62183641",169,179
"/vehicles/bmw-m8-2023-competition-skyscraper-gray-metallic",167,198
"/vehicles/porsche-911-2015-carrera-s-blue",167,220
"/vehicles/porsche-cayenne-coupe-2023-turbo-gt-gray",164,194
"/vehicles/porsche-taycan-2020-turbo-silver",164,190
"/vehicles/maserati-ghibli-2022-trofeo-gray",160,213
"/vehicles/porsche-911-2003-gt2",160,207
"/vehicles/bmw-x3-2022-sdrive30i-black-sapphire-metallic",158,181
"/vehicles/porsche-cayenne-coupe-2021-gts-black",154,211
"/vehicles/toyota-mr2-1991-turbo-white",153,202
"/vehicles/porsche-911-2020-carrera-4s-chalk",148,209
"/vehicles/porsche-911-2024-turbo-white",146,187
"/vehicles/porsche-911-2024-carrera-s-light-blue",145,179
"/vehicles/audi-q7-2017-30t-premium-plus-glacier-white",142,162
"/vehicles/plymouth-prowler-1999-base-yellow",140,178
"/vehicles/jeep-grand-cherokee-2020-overland-granite-crystal-metallic-clearcoat",139,167
"/vehicles/porsche-911-2024-carrera-s-black",137,162
"/vehicles/mercedes-benz-sl-class-2008-sl-65-amg-blue",133,140
"/vehicles/audi-r8-2022-v10-performance-black",126,152
"/vehicles/porsche-911-2024-gt3-gray",122,156
"/vehicles/bmw-z8-2000-base-silver",120,156
"/vehicles/porsche-911-2018-carrera-t",119,153
"/vehicles/porsche-macan-2022-s-gray",119,145
"/vehicles/porsche-911-2021-carrera-guards-red",117,171
"/vehicles/porsche-911-2024-light-blue",112,187
"/vehicle-details/used-2021-porsche-911-turbo-s-miami-fl-id-59228604",110,159
"/vehicles/dodge-challenger-2021-rt-scat-pack-smoke-show",110,139
"/vehicle-details/used-2023-porsche-911-carrera-miami-fl-id-59729879",108,160
"/vehicle-details/used-2022-porsche-cayenne-coupe-gts-miami-fl-id-59728260",107,159
"/vehicles/porsche-macan-2020-base-blue",107,139
"/vehicles/rolls-royce-phantom-drophead-coupe-2008-base-black",107,139
"/vehicles/porsche-911-2015-targa-4s-black",105,117
"/vehicles/porsche-911-1991-carrera-red",104,154
"/vehicles/porsche-macan-2023-t-gray-metallic",103,143
"/vehicles/jeep-cherokee-2019-limited-bright-white-clearcoat",101,116
"/vehicle-details/used-2011-bentley-continental-gtc--miami-fl-id-62415276",100,115
"/vehicles/land-rover-range-rover-evoque-2020-se-silver",100,114
"/vehicle-details/used-1988-mercedes-benz-560-sl--miami-fl-id-60267775",94,104
"/vehicle-details/used-2008-mercedes-benz-sl-class-sl-65-amgandreg-miami-fl-id-62385298",94,101
"/vehicle-details/used-1992-mitsubishi-3000gt-vr-4-miami-fl-id-62523240",91,110
"/vehicles/bmw-x3-2021-xdrive30i-jet-black",91,100
"/vehicles/porsche-911-2015-yellow",90,100
"/vehicles/ferrari-512-bbi-1982-red",88,96
"/vehicles/porsche-718-boxster-2018-s-blue",85,106
"/vehicles/porsche-911-2019-carrera-black",85,116
"/vehicles/bmw-r1200-c-2001",83,87
"/vehicles/ferrari-california-2017-t-black",82,89
"/vehicles/porsche-911-2017-carrera-gts-black",81,96
"/vehicles/mercedes-benz-g-class-2020-g-63-amg-black",79,102
"/vehicles/alfa-romeo-giulia-2022-veloce-vesuvio-gray-metallic",78,104
"/vehicles/porsche-911-2006-carrera-4-olive",78,112
"/vehicles/audi-sq5-2018-30t-prestige-blue",76,78
"/vehicles/bmw-z3-1996-base-silver",75,88
"/vehicles/ferrari-roma-2021-base",74,93
"/vehicles/rolls-royce-phantom-drophead-coupe-2010-base-black",74,94
"/vehicle-details/used-2018-porsche-718-boxster--miami-fl-id-62286463",73,79
"/vehicles/cadillac-escalade-esv-2023-sport-platinum-black-raven",73,100
"/vehicles/porsche-cayenne-coupe-2024-base-black",73,81
"/vehicles/mercedes-benz-sls-amg-2013-gt-silver",71,81
"/vehicle-details/used-2019-porsche-911-carrera-convertible-miami-fl-id-59167291",67,77
"/vehicles/rolls-royce-ghost-2018-base-black",66,79
"/vehicle-details/used-2020-bentley-continental-gt-w12-miami-fl-id-58616882",65,71
"/vehicles/ferrari-488-gtb-2018-base-red",65,71
"/vehicles/shelby-1999-silver",64,65
"/vehicle-details/used-2022-mercedes-benz-sl-class-sl-63-amgandreg-miami-fl-id-59964628",63,72
"/vehicle-details/used-2014-bentley-flying-spur-base-miami-fl-id-60020983",58,65
"/vehicles/land-rover-defender-110-2024-x-silver",57,94
"/vehicle-details/used-2013-porsche-911-carrera-miami-fl-id-62496775",54,57
"/vehicles/ferrari-1990",53,57
"/vehicles/mercedes-benz-sl-class-1994-sl-600-red",53,61
"/privacy",52,52
"/vehicle-details/used-2018-bentley-bentayga-w12-miami-fl-id-60795239",52,64
"/vehicles/porsche-911-2004-turbo-silver",51,52
"/vehicle-details/used-1986-porsche-911-carrera-convertible-miami-fl-id-60431767",49,51
"/vehicles/porsche-911-2024-targa-4s-white",47,50
"/vehicle-details/used-2000-bmw-z8--miami-fl-id-60795252",43,52
"/vehicles/bmw-z4-2022-sdrive-m40i-frozen-gray-ii-metallic",41,57
"/vehicles/maserati-levante-2020-base-black",41,58
"/vehicles/mclaren-600lt-2019-base-white",40,50
"/vehicles/porsche-911-2007-carrera-black",40,48
"/vehicles/porsche-911-2006-carrera-s-gray",39,45
"/vehicles/land-rover-range-rover-velar-2022-p250-r-dynamic-s-gray",38,46
"/vehicle-details/used-2005-aston-martin-vanquish-s-miami-fl-id-58616867",37,41
"/vehicles/honda-hr-v-2026-lx-black",37,52
"/vehicles/porsche-1986-red",36,42
"/vehicles/porsche-911-2015-turbo-black",36,47
"/vehicles/porsche-911-2022-turbo-tan",35,43
"/vehicles/dodge-viper-1996-gts-white",33,40
"/vehicle-details/used-2013-mercedes-benz-slk-slk-55-amgandreg-miami-fl-id-62629776",31,31
"/vehicles/porsche-911-2005-turbo-s-arctic-silver-metallic",31,33
"/vehicle-details/used-1993-dodge-viper-rt/10-miami-fl-id-60847331",30,31
"/vehicle-details/used-2018-mclaren-720s-luxury-miami-fl-id-61779078",30,33
"/vehicles/porsche-cayenne-coupe-2024-base-gray",30,32
"/vehicle-details/used-2013-ferrari-458-spider-320k-msrp-miami-fl-id-62085627",29,31
"/vehicles/porsche-911-1987-carrera-red",28,38
"/vehicle-details/used-1991-toyota-mr2-turbo-miami-fl-id-60155694",27,31
"/vehicle-details/used-2016-ferrari-488-gtb-base-miami-fl-id-61844384",26,32
"/vehicles/chrysler-prowler-2002-base-burgundy",26,27
"/vehicles/porsche-911-2021-turbo-silver",24,30
"/vehicles/mercedes-benz-sl-class-1995-sl-600-gray",23,24
"/vehicles/ford-transit-250-2022-base-oxford-white",22,27
"/vehicles/bentley-continental-gtc-2013-gt-v8-convertible-white",21,21
"/vehicles/porsche-911-2006-carrera-black",21,26
"/vehicles/jaguar-f-type-2015-v8-s-black",20,34
"/vehicles/volkswagen-golf-r-2024-20t-blue",20,25
"/vehicles/ferrari-roma-2021-base-gray",19,25
"/vehicles/mercedes-benz-c-class-1998-c-43-amg-silver",19,27
"/vehicles/mercedes-benz-g-class-2016-base-black",19,21
"/vehicles/mitsubishi-lancer-1993",19,20
"/vehicles/porsche-911-2005-turbo-s",19,25
"/vehicles/porsche-macan-2021-base-gray",19,26
"/vehicle-details/used-2022-porsche-macan-s-miami-fl-id-61384750",18,19
"/vehicle-details/used-2017-ferrari-488-spider-base-miami-fl-id-61958463",17,19
"/vehicles/mercedes-benz-g-class-2023-g-63-amg-gray",17,19
"/vehicles/porsche-cayenne-coupe-2025-gts-red",17,17
"/vehicles/porsche-911-1996-turbo-black",16,20
"/vehicles/porsche-911-2015-black",16,24
"/vehicles/mercedes-benz-sl-class-1996-sl-600-black",15,15
"/vehicles/porsche-911-2004-gray",15,16
"/vehicles/porsche-911-2006-carrera-white",15,16
"/vehicle-details/used-2021-bmw-x3-xdrive30i-miami-fl-id-58616824",14,14
"/vehicle-details/used-2021-porsche-cayenne-coupe-gts-miami-fl-id-61014296",13,16
"/vehicles/porsche-911-2010-white",12,15
"/vehicles/porsche-911-2013-carrera-s-black",12,12
"/vehicle-details/used-1991-porsche-911-carrera-convertible-miami-fl-id-61533317",11,12
"/vehicle-details/used-2000-bmw-7-series-750il-miami-fl-id-62960100",11,13
"/vehicles/porsche-911-2015-carrera-s-yellow",11,11
"/vehicle-details/used-1985-porsche-911-carrera-targa-miami-fl-id-60713767",10,11
"/vehicle-details/used-2020-jeep-grand-cherokee-overland-miami-fl-id-58616808",10,10
"/vehicles/bmw-z3-m-2000-base-black",10,11
"/vehicles/bmw-z3-m-2001-base-gray",10,12
"/vehicles/porsche-911-2006-carrera-olive",10,11
"/vehicles/porsche-911-2023",10,10
"/vehicles/subaru-sti-s209-2019-base-wr-blue-pearl",10,18
"/car-service-miami-fl",9,9
"/trade-in-car-miami-fl",9,9
"/used-car-deals-under-20000-miami-fl",9,9
"/vehicles/porsche-911-2018-turbo-black",9,9
"/vehicles/toyota-supra-1997-turbo-black",9,10
"/all-inventory/index.htm",8,11
"/vehicle-details/used-1982-ferrari-512-bbi--miami-fl-id-58616817",8,9
"/vehicles/bmw-7-series-2000-750il-black",8,12
"/vehicles/ferrari-california-2012-base-red",8,9
"/vehicles/porsche-911-2012-carrera-s-black",8,8
"/2017-mercedes-benz-amgandreg-gt-miami-fl",7,10
"/cars-for-sale-miami-fl",7,7
"/contact-us",7,7
"/vehicle-details/used-1999-mercedes-benz-sl-class-sl-600-miami-fl-id-63393923",7,8
"/vehicle-details/used-2001-bmw-z3-m-base-miami-fl-id-58616895",7,8
"/vehicle-details/used-2010-porsche-911-gt3-miami-fl-id-63381816",7,13
"/vehicle-details/used-2017-mini-john-cooper-works-base-miami-fl-id-61763051",7,7
"/vehicle-details/used-2021-ferrari-roma-base-miami-fl-id-62072952",7,8
"/vehicles/porsche-911-2020-chalk",7,13
"/vehicles/porsche-macan-2020-base-gray",7,7
"/2013-ferrari-458-italia-miami-fl",6,8
"/bmw-m3-2023-competition-brooklyn-gray-metallic",6,7
"/used-car-deals-between-50000-59999-miami-fl",6,6
"/vehicle-details/used-2003-porsche-911-gt2-miami-fl-id-62035066",6,6
"/vehicle-details/used-2016-porsche-911-carrera-gts-miami-fl-id-60068927",6,6
"/vehicle-details/used-2018-porsche-911-turbo-miami-fl-id-61217628",6,6
"/vehicles/bmw-m8-2020-base-motegi-red-metallic",6,6
"/vehicles/mercedes-benz-slk-1998-slk-230-blue",6,7
"/vehicles/porsche-taycan-2020-silver",6,6
"/2020-mercedes-benz-c-class-miami-fl",5,7
"/about-us",5,5
"/locations",5,5
"/sell-my-car",5,6
"/staff",5,5
"/used-vehicles-miami-fl",5,5
"/vehicle-details/used-1997-ferrari-550-maranello-miami-fl-id-60794775",5,6
"/vehicle-details/used-1997-ferrari-f355-berlinetta-miami-fl-id-58616795",5,8
"/vehicle-details/used-2000-bmw-z8-base-miami-fl-id-60160727",5,5
"/vehicle-details/used-2021-aston-martin-dbx-base-miami-fl-id-59631982",5,5
"/vehicle-details/used-2021-porsche-911-carrera-miami-fl-id-61777255",5,5
"/vehicles/bentley-bentayga-2019-v8-red",5,5
"/vehicles/bmw-2001",5,6
"/vehicles/bmw-z4-2019-sdrive30i-black-sapphire-metallic",5,7
"/vehicles/ferrari-2023-gray",5,7
"/vehicles/land-rover-defender-130-2023-x-gray",5,5
"/vehicles/land-rover-range-rover-evoque-2017-hse-dynamic-baltoro-ice-metallic",5,5
"/vehicles/land-rover-range-rover-sport-2022-svr-green",5,6
"/vehicles/mclaren-600lt-2019-base",5,5
"/vehicles/mini-john-cooper-works-2017-base-john-cooper-works-rebel-green",5,9
"/vehicles/nissan-300zx-1991-turbo-red",5,8
"/vehicles/porsche-911-2020",5,9
"/vehicles/porsche-911-2024-white",5,5
"/1992-porsche-964-miami-fl",4,6
"/2019-lamborghini-urus-base-miami-fl",4,4
"/bentley-continental-gt-2020-w12-silver",4,4
"/blog/2022/november/9/tips-to-help-you-buy-the-car-of-your-dreams.htm",4,4
"/management",4,4
"/meet-our-team",4,4
"/mitsubishi-3000gt-1992-vr-4-red",4,4
"/our-team",4,4
"/porsche-911-1999-carrera-silver",4,5
"/sales-team",4,4
"/sport-cars-lux-dealership-customer-reviews",4,4
"/used-car-deals-between-30000-and-39999-miami-fl",4,4
"/vehicle-details/used-1990-ferrari-no-model--miami-fl-id-61096390",4,4
"/vehicle-details/used-1999-mercedes-benz-sl-600-miami-fl-id-61369919",4,4
